2018-01-01,轻度污染,117,207,87
2018-01-02,中度污染,151,299,115
2018-01-03,轻度污染,133,349,101
2018-01-04,轻度污染,130,356,98
2018-01-05,良,60,168,42
2018-01-06,优,37,77,25
2018-01-07,优,35,78,22
2018-01-08,优,29,37,16
2018-01-09,优,48,102,32
2018-01-10,优,48,109,29
2018-01-11,优,47,95,24
2018-01-12,良,51,68,29
2018-01-13,良,57,52,36
2018-01-14,轻度污染,107,216,79
2018-01-15,轻度污染,111,190,83
2018-01-16,轻度污染,116,214,87
2018-01-17,良,82,102,60
2018-01-18,轻度污染,113,189,85
2018-01-19,轻度污染,149,235,114
2018-01-20,中度污染,183,270,138
2018-01-21,中度污染,175,289,133
2018-01-22,轻度污染,135,309,101
2018-01-23,轻度污染,116,292,87
2018-01-24,轻度污染,134,348,101
2018-01-25,良,85,311,62
2018-01-26,良,68,255,48
2018-01-27,良,64,220,45
2018-01-28,优,39,66,26
2018-01-29,优,24,19,14
2018-01-30,优,45,36,30
2018-01-31,优,31,23,20
2018-02-01,良,71,87,51
2018-02-02,良,64,122,45
2018-02-03,良,61,156,43
2018-02-04,良,78,256,57
2018-02-05,良,56,86,38
2018-02-06,良,56,88,38
2018-02-07,良,66,90,46
2018-02-08,良,71,96,51
2018-02-09,轻度污染,112,186,84
2018-02-10,轻度污染,109,240,82
2018-02-11,良,91,223,67
2018-02-12,良,78,215,54
2018-02-13,良,75,177,54
2018-02-14,良,72,155,49
2018-02-15,良,70,146,50
2018-02-16,轻度污染,131,209,98
2018-02-17,良,95,211,70
2018-02-18,良,75,230,54
2018-02-19,良,62,200,43
2018-02-20,优,44,75,29
2018-02-21,优,44,87,30
2018-02-22,优,16,5,9
2018-02-23,优,22,9,14
2018-02-24,良,71,243,51
2018-02-25,良,57,122,41
2018-02-26,优,33,18,21
2018-02-27,良,57,119,38
2018-02-28,优,42,51,26
2018-03-01,良,53,107,33
2018-03-02,优,43,31,27
2018-03-03,优,47,52,31
2018-03-04,优,34,13,20
2018-03-05,优,41,71,25
2018-03-06,良,53,200,33
2018-03-07,良,60,228,42
2018-03-08,优,27,28,9
2018-03-09,优,48,60,20
2018-03-10,良,60,67,40
2018-03-11,良,85,217,52
2018-03-12,良,70,134,49
2018-03-13,良,56,65,33
2018-03-14,良,56,86,38
2018-03-15,良,62,157,43
2018-03-16,轻度污染,110,326,82
2018-03-17,良,73,267,52
2018-03-18,良,59,181,38
2018-03-19,优,49,114,33
2018-03-20,优,33,39,8
2018-03-21,优,43,38,18
2018-03-22,良,58,67,36
2018-03-23,轻度污染,102,258,60
2018-03-24,良,83,188,57
2018-03-25,良,69,117,49
2018-03-26,良,89,214,65
2018-03-27,良,67,112,46
2018-03-28,轻度污染,102,273,71
2018-03-29,良,76,191,53
2018-03-30,良,69,150,49
2018-03-31,良,80,185,47
2018-04-01,良,69,102,43
2018-04-02,良,84,183,59
2018-04-03,良,82,200,56
2018-04-04,良,59,130,34
2018-04-05,良,53,111,30
2018-04-05,良,53,111,30
2018-04-06,优,42,24,22
2018-04-07,良,82,260,30
2018-04-08,良,79,202,43
2018-04-09,良,87,229,56
2018-04-10,良,61,47,38
2018-04-11,良,55,53,33
2018-04-12,优,41,16,23
2018-04-13,优,39,46,23
2018-04-14,优,33,27,19
2018-04-15,优,29,20,12
2018-04-16,良,57,60,27
2018-04-17,良,85,182,41
2018-04-18,轻度污染,110,271,77
2018-04-19,良,95,224,70
2018-04-20,良,79,210,56
2018-04-21,良,59,139,33
2018-04-22,良,52,176,28
2018-04-23,良,51,154,29
2018-04-24,优,39,67,24
2018-04-25,优,48,75,30
2018-04-26,良,83,226,61
2018-04-27,良,68,154,48
2018-04-28,良,72,137,51
2018-04-29,良,64,97,43
2018-04-30,良,51,84,34
2018-05-01,优,45,64,26
2018-05-02,优,47,56,28
2018-05-03,优,48,46,27
2018-05-04,良,69,168,48
2018-05-05,良,59,165,33
2018-05-06,优,41,69,20
2018-05-07,优,33,28,16
2018-05-08,优,30,7,16
2018-05-09,优,38,31,25
2018-05-10,良,53,93,36
2018-05-11,良,67,217,48
2018-05-12,良,56,108,32
2018-05-13,优,47,48,25
2018-05-14,优,42,31,23
2018-05-15,优,33,18,16
2018-05-16,优,34,19,18
2018-05-17,优,42,43,20
2018-05-18,优,43,30,23
2018-05-19,优,43,38,20
2018-05-20,优,40,62,19
2018-05-21,优,41,77,19
2018-05-22,优,40,53,15
2018-05-23,良,57,115,25
2018-05-24,良,52,84,26
2018-05-25,优,37,33,16
2018-05-26,优,37,36,15
2018-05-27,优,39,39,18
2018-05-28,优,42,32,17
2018-05-29,优,38,23,13
2018-05-30,优,41,52,15
2018-05-31,良,52,105,25
2018-06-01,良,69,173,33
2018-06-02,良,56,111,28
2018-06-03,良,88,244,47
2018-06-04,良,75,235,36
2018-06-05,优,44,64,29
2018-06-06,优,27,21,16
2018-06-07,优,20,10,13
2018-06-08,优,20,7,10
2018-06-09,优,26,10,9
2018-06-10,优,49,93,22
2018-06-11,良,91,306,34
2018-06-12,轻度污染,103,327,75
2018-06-13,优,34,35,23
2018-06-14,优,39,59,22
2018-06-15,优,46,86,24
2018-06-16,良,81,266,34
2018-06-17,轻度污染,105,349,54
2018-06-18,良,73,250,40
2018-06-19,优,39,72,19
2018-06-20,优,43,128,22
2018-06-21,优,47,152,24
2018-06-22,优,45,142,28
2018-06-23,优,31,58,17
2018-06-24,优,37,103,18
2018-06-25,优,29,58,14
2018-06-26,优,47,190,25
2018-06-27,优,43,147,24
2018-06-28,优,45,164,23
2018-06-29,优,44,110,25
2018-06-30,优,40,104,22
2018-07-01,优,46,167,23
2018-07-02,优,46,159,27
2018-07-03,优,45,180,26
2018-07-04,优,41,123,23
2018-07-05,优,45,182,24
2018-07-06,优,43,184,24
2018-07-07,优,43,214,28
2018-07-08,良,80,347,45
2018-07-09,优,50,255,28
2018-07-10,良,64,337,31
2018-07-11,良,67,316,42
2018-07-12,良,73,335,36
2018-07-13,优,36,107,21
2018-07-14,优,26,40,16
2018-07-15,优,33,80,18
2018-07-16,良,52,226,30
2018-07-17,良,79,341,40
2018-07-18,优,45,159,28
2018-07-19,良,57,241,23
2018-07-20,良,63,253,26
2018-07-21,优,50,131,23
2018-07-22,优,40,80,20
2018-07-23,优,30,34,15
2018-07-24,优,24,18,14
2018-07-25,优,35,67,18
2018-07-26,良,53,195,33
2018-07-27,良,58,263,29
2018-07-28,优,49,174,20
2018-07-29,优,39,85,17
2018-07-30,优,36,66,16
2018-07-31,优,43,121,21
2018-08-01,优,40,93,20
2018-08-02,优,42,125,21
2018-08-03,优,46,185,25
2018-08-04,优,50,199,27
2018-08-05,优,46,135,25
2018-08-06,良,59,224,36
2018-08-07,良,57,224,31
2018-08-08,良,84,334,27
2018-08-09,良,84,340,31
2018-08-10,优,41,72,17
2018-08-11,优,25,17,13
2018-08-12,优,35,54,20
2018-08-13,良,77,338,40
2018-08-14,良,53,255,27
2018-08-15,优,38,123,19
2018-08-16,优,37,100,17
2018-08-17,优,36,91,18
2018-08-18,优,44,177,19
2018-08-19,优,47,200,27
2018-08-20,优,44,157,23
2018-08-21,良,59,235,27
2018-08-22,优,38,59,14
2018-08-23,良,57,171,31
2018-08-25,良,65,205,37
2018-08-27,优,31,19,14
2018-08-29,优,31,58,13
2018-08-31,优,33,97,17
2018-09-02,优,29,67,14
2018-09-03,优,32,64,13
