,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
0,天河 珠江新城东,距地铁5号线猎德962米,粤海丽江花园,5室2厅5卫,南,35000,高楼层 (共45层),276.9平米
1,海珠 广州大道南,暂无数据,翠馨华庭,2室1厅1卫,南,3600,低楼层 (共24层),42.05平米
2,天河 华景新城,暂无数据,邮通小区,3室2厅2卫,东,5200,低楼层 (共9层),131平米
3,白云 白云大道北,暂无数据,嘉乐苑,4室2厅2卫,南,5500,高楼层 (共9层),147平米
4,海珠 金碧,距地铁2号线东晓南950米,金碧花园第一金碧,1室1厅1卫  整租,东,2600,高楼层 (共22层),35平米
5,天河 珠江新城中,距地铁5号线猎德550米,保利心语花园,3室2厅2卫,东南,11000,中楼层 (共32层),105平米
6,越秀 东风东,距地铁1号线杨箕727米,东风东路,3室2厅1卫,南 北,4800,中楼层 (共9层),83平米
7,天河 珠江新城东,距地铁5号线猎德828米,富力公园28,3室2厅3卫,东,18000,高楼层 (共48层),159平米
8,天河 天河公园,暂无数据,金兴花园,1室1厅1卫,东 东南,3300,低楼层 (共9层),48平米
9,海珠 金碧,距地铁2号线东晓南247米,晓港湾丽华苑,2室1厅1卫,西,3200,中楼层 (共9层),50平米
10,越秀 小北,距地铁5号线小北1009米,新城市学府,1室0厅1卫,东南 北,4500,低楼层 (共3层),46平米
11,天河 珠江新城东,暂无数据,珠光新城御景,3室2厅2卫,南,16000,中楼层 (共27层),120平米
12,越秀 五羊新城,距地铁5号线五羊邨549米,寺右东小区寺右五巷,2室1厅2卫,北,4300,低楼层 (共9层),53平米
13,天河 天润路,距地铁3号线华师590米,鸿翔大厦,1室1厅1卫,西,4000,低楼层 (共29层),38.86平米
14,海珠 金碧,距地铁2号线东晓南942米,新城国际,2室2厅1卫,东,4500,高楼层 (共22层),41平米
15,白云 黄石路,暂无数据,白云高尔夫花园荷塘月色,1室1厅1卫,西南,3000,高楼层 (共12层),60平米
16,番禺 大石,暂无数据,富丽家园莲芳园,2室1厅1卫,南,2400,中楼层 (共8层),78平米
17,黄埔 区府,距地铁13号线双岗739米,万科黄埔仓,1室0厅1卫,南,1700,中楼层 (共5层),20平米
18,海珠 广州大道南,暂无数据,逸景翠园,3室2厅1卫,南,4800,低楼层 (共12层),81平米
19,天河 珠江新城中,距地铁5号线猎德411米,保利心语花园,3室2厅2卫,南,10000,中楼层 (共32层),110平米
20,番禺 雅居乐,暂无数据,广州雅居乐花园时光九篇,3室2厅1卫,南,4000,高楼层 (共11层),101平米
21,海珠 广州大道南,暂无数据,逸景翠园,2室1厅1卫,北,5000,高楼层 (共19层),67平米
22,白云 白云大道南,距地铁2号线白云公园783米,隆康花园,2室1厅1卫,西北,4800,中楼层 (共11层),86.7平米
23,番禺 大石,暂无数据,城联大厦,1室1厅1卫,北,1800,高楼层 (共10层),40平米
24,天河 珠江新城东,暂无数据,珠光新城御景,3室2厅2卫,南,16000,高楼层 (共27层),120平米
25,天河 珠江新城东,暂无数据,珠光新城御景二期回迁房,2室1厅1卫,南 北 东北,6950,中楼层 (共40层),68平米
26,天河 天润路,距地铁3号线华师1137米,金田花苑,3室2厅1卫,东,6500,低楼层 (共19层),120平米
27,番禺 洛溪,距地铁2号线洛溪171米,吉祥北园,3室1厅1卫,南,3200,中楼层 (共7层),72平米
28,黄埔 区府,距地铁13号线双岗643米,万科黄埔仓,2室1厅1卫,南,3800,高楼层 (共22层),51平米
29,越秀 东风东,距地铁1号线杨箕543米,锦城花园,2室2厅1卫,东北,6200,中楼层 (共32层),84平米
30,天河 珠江新城东,距地铁5号线猎德962米,粤海丽江花园,5室2厅5卫,南,35000,高楼层 (共45层),276.9平米
31,海珠 广州大道南,暂无数据,翠馨华庭,2室1厅1卫,南,3600,低楼层 (共24层),42.05平米
32,天河 华景新城,暂无数据,邮通小区,3室2厅2卫,东,5200,低楼层 (共9层),131平米
33,白云 白云大道北,暂无数据,嘉乐苑,4室2厅2卫,南,5500,高楼层 (共9层),147平米
34,海珠 金碧,距地铁2号线东晓南950米,金碧花园第一金碧,1室1厅1卫  整租,东,2600,高楼层 (共22层),35平米
35,天河 珠江新城中,距地铁5号线猎德550米,保利心语花园,3室2厅2卫,东南,11000,中楼层 (共32层),105平米
36,越秀 东风东,距地铁1号线杨箕727米,东风东路,3室2厅1卫,南 北,4800,中楼层 (共9层),83平米
37,天河 珠江新城东,距地铁5号线猎德828米,富力公园28,3室2厅3卫,东,18000,高楼层 (共48层),159平米
38,天河 天河公园,暂无数据,金兴花园,1室1厅1卫,东 东南,3300,低楼层 (共9层),48平米
39,海珠 金碧,距地铁2号线东晓南247米,晓港湾丽华苑,2室1厅1卫,西,3200,中楼层 (共9层),50平米
