,comment,download,follow,name,num_score,score,tags,volume
0,22000.0,11410000.0,16000.0,哔哩哔哩,8536.0,3.8,"['哔哩哔哩', 'bilibili', 'B站', 'A站', 'AcFun', 'ACG', '动漫', '二次元', '弹幕', '视频']",76.27
1,3361.0,15340000.0,15000.0,RE管理器:Root Explorer,2677.0,4.8,"['文件管理', 'root', '装机必备']",3.32
2,50000.0,16320000.0,38000.0,QQ,17000.0,2.1,"['QQ', '腾讯', 'im', '即时聊天', '装机必备']",56.2
3,35000.0,17120000.0,23000.0,网易云音乐,13000.0,4.1,"['播放器', 'MV', '电台', '在线音乐', '歌单', '听歌', '音乐下载', '装机必备']",47.09
4,31000.0,27810000.0,23000.0,微信,11000.0,2.3,"['微信', 'qq', '腾讯', 'tencent', '即时聊天', '装机必备']",75.53
5,54000.0,53350000.0,24000.0,酷安,14000.0,4.4,"['酷市场', '酷安', '市场', 'coolapk', '装机必备']",22.03
6,1970.0,9320000.0,4203.0,WiFi万能钥匙,2061.0,2.3,['wifi'],24.79
7,16000.0,9550000.0,11000.0,支付宝,8257.0,2.1,"['支付宝', '淘宝', '旺旺', '购物', '余额宝', '电商', '装机必备']",64.6
8,10000.0,10950000.0,5758.0,新浪微博,6939.0,2.3,"['微博', '小编推荐']",70.4
9,13000.0,11230000.0,9268.0,手机淘宝,10000.0,1.8,"['购物', '网购', 'taobao', '电商', '装机必备']",92.7
10,5744.0,5380000.0,3636.0,优酷视频,4017.0,2.4,"['优酷', '视频', 'youku']",73.8
11,4618.0,5460000.0,10000.0,ES文件浏览器,5482.0,4.2,"['文件管理', 'es管理器', '装机必备']",21.49
12,3746.0,5770000.0,4248.0,百度地图,5278.0,2.0,"['地图', '导航', '路线']",79.7
13,3544.0,5780000.0,1887.0,中国建设银行,1327.0,2.0,"['银行', '建行']",148.7
14,6315.0,6320000.0,6026.0,京东,2518.0,2.3,"['电商', '电子商务', '360buy', '装机必备', '小编推荐', '购物']",92.45
15,7470.0,6540000.0,10000.0,知乎,4683.0,2.9,"['问答', '社区', '知识', '社交', '小编推荐']",64.17
16,3735.0,6640000.0,8728.0,WPS Office,2301.0,3.8,"['wps', 'office', '文档', '金山', '小编推荐']",37.28
17,3625.0,6890000.0,6411.0,高德地图（快捷导航版）,1799.0,3.1,"['地图', '导航', 'gps', '小编推荐']",110.69
18,11000.0,8030000.0,12000.0,百度网盘,8902.0,1.9,"['网盘', '百度云']",47.83
19,15000.0,8230000.0,27000.0,Greenify绿色守护,4114.0,4.6,"['冻结', '后台唤醒', '后台自启', '链式唤醒', '小编推荐']",3.98
20,5267.0,4200000.0,6308.0,讯飞输入法,1855.0,4.3,"['输入法', '手写', '语音', '讯飞', 'iFlytek', '小编推荐']",19.85
21,5718.0,4270000.0,3289.0,搜狗输入法,1851.0,2.8,"['搜狗输入法', '输入法', '拼音', '手写', 'sogou']",31.1
22,8040.0,4440000.0,5915.0,百度贴吧,6338.0,1.9,"['贴吧', '小编推荐']",53.93
23,1974.0,4460000.0,3173.0,美团-团购美食电影酒店优惠,2774.0,1.9,"['团购', '购物', '小编推荐']",109.48
24,5156.0,4560000.0,15000.0,SuperSU权限管理,1896.0,4.7,"['权限管理', 'root', '安全防护', '装机必备']",6.06
25,4967.0,4900000.0,10000.0,快图浏览,4036.0,4.2,"['看图', '图片', 'Picture', '装机必备', '图库']",3.13
26,3141.0,4960000.0,1317.0,阿里星球:TTPod Android,1642.0,2.9,"['听歌', '音乐', 'mp3', '音乐电台', '天天动听']",20.74
27,23000.0,4980000.0,30000.0,Via浏览器,7675.0,4.6,"['浏览器', '酷友作品', '小编推荐']",0.50939453125
28,9287.0,4980000.0,5359.0,UC浏览器,4467.0,2.3,"['浏览器', '装机必备']",45.31
29,9170.0,5300000.0,32000.0,一个木函,7935.0,4.7,"['以图搜图', '氢壁纸', '斗图神器', '编码转换', '预装卸载', '应用冻结', '安装包提取', '空文件夹、空文件、大文件、运行内存清理', '微云直链提取', '百度云直链提取', '取色', '翻译(支持谷歌翻译引擎)', '摩斯电码', '加密解密', 'qq工具', '酷友作品']",2.95
30,1477.0,3310000.0,3327.0,布卡漫画,1007.0,4.3,"['漫画', '动漫', '漫迷社区', '原创', '图书', '日漫', '漫展信息', '国漫', '二次元']",17.99
31,2512.0,3460000.0,2436.0,酷狗音乐,1192.0,3.2,"['音乐', '播放器', 'mp3', '在线音乐', '音乐电台']",54.64
32,2045.0,3550000.0,5570.0,迅雷,4973.0,2.1,"['迅雷', '下载']",33.16
33,7928.0,3580000.0,4454.0,QQ音乐,3813.0,2.7,"['音乐', 'mp3', '听歌', '播放器', '音乐电台', '中国好声音']",59.41
34,22000.0,3700000.0,30000.0,黑阈,4937.0,3.6,"['阻止', '唤醒']",0.95564453125
35,5590.0,3730000.0,4526.0,LBE安全大师(免ROOT),1927.0,3.6,"['安全防护', '隐私', '手机安全']",14.1
36,2283.0,3790000.0,2827.0,滴滴出行,1596.0,2.0,"['打车', '的士', '小费', '快车', '顺风车', '专车', '拼车', 'O2O', '出行', '出租车', '滴滴打车', '装机必备']",70.35
37,12000.0,4030000.0,7400.0,百度输入法,5674.0,2.6,"['输入法', '拼音', '装机必备']",25.82
38,4067.0,4150000.0,2824.0,腾讯视频,1572.0,2.1,"['视频', '腾讯', 'qq', '好声音', 'NBA', '小编推荐']",45.88
39,6067.0,3150000.0,4430.0,联通手机营业厅(官方版),1332.0,2.5,"['中国联通', '营业厅', '运营商']",37.87
40,3878.0,2660000.0,4600.0,闲鱼,1792.0,4.1,"['二手', '咸鱼', '淘宝']",50.46
41,2256.0,2810000.0,2091.0,饿了么,1419.0,2.3,"['外卖', '团购', '优惠', '打折', '订餐', '小编推荐']",42.49
42,2898.0,2820000.0,2354.0,网易新闻（官方）,1330.0,2.8,"['163', '网易', '新闻', '小编推荐']",24.84
43,1634.0,2840000.0,1032.0,墨迹天气,922.0,2.5,['天气'],17.22
44,2536.0,2930000.0,1834.0,斗鱼直播,1746.0,1.9,"['直播', '游戏']",53.88
45,22000.0,2980000.0,20000.0,夸克浏览器,4999.0,4.4,"['夸克', 'quark', '浏览器', '网页', '浏览', 'chrome']",33.72
46,793.0,3020000.0,3458.0,QQ同步助手 换机必备通讯录软件照片一键安全备份,604.0,3.0,"['同步', '联系人', '备份', '通讯录', '装机必备']",13.73
47,4057.0,3030000.0,14000.0,静读天下:Moon+ Reader Pro,2105.0,4.6,"['阅读', '读书', '电子书', '阅读器']",11.81
48,3980.0,3080000.0,2609.0,爱奇艺,1649.0,2.0,"['视频', '百度', '资讯', '直播', '综艺', '时尚', '在线视频']",33.59
49,5108.0,2480000.0,3409.0,QQ浏览器-腾讯王卡，全网免流量,2208.0,2.8,"['浏览器', '装机必备', 'QQ浏览器']",32.93
50,2183.0,2260000.0,2257.0,KingRoot-一键权限获取，授权管理,1495.0,2.4,"['root', '权限管理', '安全防护']",10.98
51,638.0,2280000.0,2164.0,Adobe Flash Player,285.0,3.8,"['flash', 'adobe', '视频']",4.49
52,3598.0,2310000.0,2257.0,今日头条,1381.0,2.3,"['新闻', '阅读器', '小编推荐']",27.5
53,689.0,2360000.0,608.0,暴风影音视频播放器,676.0,2.1,"['视频', '音乐', '播放器']",25.83
54,8579.0,2360000.0,3640.0,虾米音乐,2138.0,3.5,"['mp3', '音乐', '听歌', '虾米', '音乐电台']",64.51
55,2743.0,2370000.0,5445.0,多看阅读,1554.0,4.1,"['阅读器', '书友圈', '小说', '出版文学', '图书', '杂志', '电子书', '付费阅读', '网络原创']",22.53
56,1439.0,2410000.0,2686.0,网易有道词典-英语学习翻译,1512.0,3.6,"['有道', '词典', '网易', '辞典']",103.06
57,5258.0,2420000.0,15000.0,颜咚 *实用工具*,1882.0,3.4,[],2.76
58,2117.0,2460000.0,6205.0,印象笔记,955.0,4.2,"['记事本', '文档']",43.55
59,6549.0,2250000.0,13000.0,Share微博客户端,3142.0,4.7,"['微博', '新浪微博']",8.76
60,3530.0,1950000.0,2412.0,抖音短视频,959.0,2.6,"['搞笑', '短视频']",66.45
61,231.0,1950000.0,1885.0,Adobe AIR for Android,113.0,4.2,"['flash', 'Adobe', '视频']",21.69
62,1421.0,1950000.0,1596.0,中国工商银行,740.0,2.0,"['银行', '工行', '工商银行']",123.34
63,1420.0,2140000.0,3153.0,QQ邮箱,1367.0,3.9,"['邮箱', 'qq', '腾讯']",17.49
64,647.0,2140000.0,621.0,QQ阅读-小说漫画电子书阅读器,513.0,2.5,"['阅读', '图书', '腾讯', '小编推荐']",29.63
65,420.0,2140000.0,745.0,YY,445.0,2.1,"['yy', '多玩', '即时聊天', '语音']",58.7
66,495.0,2150000.0,1782.0,大众点评,437.0,2.4,"['餐馆', '购物', '美食', '美食', 'o2o', '周边信息', '生活', '门票', '优惠', '团购', '外卖', '酒店', '小编推荐']",78.58
67,651.0,2170000.0,1524.0,QQ日本版,334.0,3.4,['聊天'],20.95
68,341.0,2210000.0,2180.0,PDF阅读器 Adobe reader,233.0,4.4,"['PDF', '阅读器']",20.54
69,926.0,2250000.0,1484.0,猎豹清理大师国际版:Clean Master,608.0,2.7,"['缓存', '清理优化']",19.3
70,5017.0,1740000.0,13000.0,Pure天气,2542.0,4.7,"['天气', '酷友作品']",2.14
71,2669.0,1750000.0,3475.0,QQ国际版,997.0,3.5,['聊天'],21.75
72,1057.0,1760000.0,2305.0,QQ安全中心,807.0,2.9,"['安全', '令牌']",13.9
73,214.0,1770000.0,565.0,BeautyCam美颜相机,119.0,3.8,"['拍照', '摄影']",66.02
74,8075.0,1820000.0,19000.0,冰箱 Ice Box,2202.0,4.5,"['冻结', '禁止', '后台', '免root', '小编推荐']",3.45
75,958.0,1860000.0,10000.0,扫描全能王,634.0,4.4,"['ocr', '扫描']",47.53
76,4973.0,1860000.0,1809.0,安兔兔评测,774.0,2.4,"['评测', '安兔兔', '跑分', '辅助加强']",55.43
77,460.0,1910000.0,555.0,爱奇艺PPS,279.0,2.5,"['网络视频', '视频', '网络电视', '直播', '综艺', '电视直播', '在线视频', '栏目', '少儿', '电视', '动漫', '电影', '播放器', '电视剧', '点播', '视频播放器', '综合视频']",32.9
78,618.0,1920000.0,1341.0,美图秀秀,452.0,3.2,"['美图', '图片处理', '图片', 'pic', '图像铃音', '修图']",69.12
79,677.0,1930000.0,791.0,MOMO陌陌,472.0,2.0,"['交友', 'lbs', '社交']",63.17
80,2254.0,1650000.0,2848.0,QQ HD,1045.0,3.8,"['腾讯', '平板', 'qq', 'pad', '即时聊天']",31.36
81,9740.0,1660000.0,11000.0,即刻,5231.0,4.3,"['新闻', '资讯', '阅读', '推送', '知乎', 'RSS', '社交', 'IFTTT']",14.32
82,630.0,1670000.0,4218.0,影音先锋,556.0,3.7,['播放器'],29.29
83,6511.0,1670000.0,11000.0,X浏览器,7940.0,4.7,['浏览器'],0.8474609375
84,1186.0,1680000.0,1444.0,天猫,922.0,1.9,"['淘宝', '电商', '小编推荐']",80.8
85,597.0,1690000.0,1187.0,蜻蜓FM-听书,327.0,2.5,"['电台', '广播']",24.12
86,862.0,1700000.0,4550.0,什么值得买,553.0,3.2,"['购物', '电子商务', '导购', '张大妈', '小编推荐']",28.93
87,856.0,1710000.0,786.0,掌上英雄联盟,406.0,2.6,"['LOL', '英雄联盟']",49.29
88,2140.0,1730000.0,1272.0,快手,1744.0,2.7,['短视频'],61.84
89,63.0,1740000.0,92.0,看点,149.0,2.1,['新闻'],4.04
90,1240.0,1520000.0,1220.0,QQ空间,1299.0,2.0,"['空间', 'qzone', '交友']",31.4
91,908.0,1550000.0,668.0,乐视视频,1095.0,1.9,"['手机电视', '电影', '视频']",70.42
92,1209.0,1550000.0,1449.0,PP视频（原PPTV聚力视频）,488.0,3.5,"['视频', '电影', '看碟', '看片', '大片', 'pptv']",70.8
93,752.0,1550000.0,903.0,熊猫直播,439.0,2.4,"['游戏直播', '电竞', '王思聪']",89.61
94,6024.0,1550000.0,18000.0,存储空间清理,10000.0,4.7,"['优化加速', '清理优化', '空文件夹', '文件管理', '文件清理', '垃圾清理', '缓存清理', '清理大师']",2.81
95,1230.0,1580000.0,924.0,VC浏览器,2150.0,2.7,['浏览器'],2.59
96,6095.0,1580000.0,18000.0,Pure 轻雨 图标包,4925.0,4.8,['图标'],15.8
97,4820.0,1590000.0,6131.0,爱字体,735.0,4.2,['字体'],8.95
98,2777.0,1610000.0,3707.0,12306智行火车票,3167.0,4.4,['火车'],37.32
99,8251.0,1620000.0,10000.0,TIM-QQ办公简洁版,1770.0,3.7,"['轻聊', '办公', 'QQ']",51.9
100,956.0,1390000.0,1413.0,相机360,543.0,3.8,"['相机', '拍照', '照相']",48.94
101,5754.0,1410000.0,13000.0,阻止运行,1780.0,4.4,"['xposed', '冻结', '防自启', '链式唤醒']",2.68
102,2564.0,1420000.0,2825.0,铁路12306,2361.0,2.5,"['火车', '车票', '铁路', '铁道']",27.37
103,1129.0,1430000.0,1127.0,美团外卖-美食水果优惠订餐,1054.0,1.9,"['外卖', '快餐', '美食']",38.56
104,603.0,1440000.0,1176.0,汽车之家,328.0,2.5,"['汽车', 'autohome', '资讯']",43.62
105,950.0,1460000.0,1257.0,字体管家（一键更换字体）,541.0,2.7,"['字体', '辅助加强']",11.67
106,1308.0,1480000.0,2783.0,豆瓣,1193.0,3.5,['豆瓣'],33.83
107,3221.0,1490000.0,4446.0,索尼音乐,944.0,4.5,"['播放器', '音乐电台', 'mp3', 'sony', '索尼']",14.9
108,3490.0,1500000.0,2230.0,摩拜单车,1192.0,4.1,"['mobike', '公共自行车', '共享单车', '单车', '城市自行车']",33.77
109,432.0,1510000.0,1125.0,携程旅行迪士尼酒店机票火车票旅游门票攻略团购,550.0,3.4,"['出行', '机票', '旅游', '酒店']",74.46
110,539.0,1280000.0,1235.0,米家,576.0,2.9,['智能家居'],55.21
