,_id,comment,download,follow,name,num_score,score,tags,volume
0,5c26c668b031602c92ea9fb6,2.2万,1141万,1.6万,哔哩哔哩,8536,3.8,"['哔哩哔哩', 'bilibili', 'B站', 'A站', 'AcFun', 'ACG', '动漫', '二次元', '弹幕', '视频']",76.27M
1,5c26c669b031602c92ea9fb7,3361,1534万,1.5万,RE管理器:Root Explorer,2677,4.8,"['文件管理', 'root', '装机必备']",3.32M
2,5c26c66ab031602c92ea9fb8,5.0万,1632万,3.8万,QQ,1.7万,2.1,"['QQ', '腾讯', 'im', '即时聊天', '装机必备']",56.20M
3,5c26c66cb031602c92ea9fb9,3.5万,1712万,2.3万,网易云音乐,1.3万,4.1,"['播放器', 'MV', '电台', '在线音乐', '歌单', '听歌', '音乐下载', '装机必备']",47.09M
4,5c26c66db031602c92ea9fba,3.1万,2781万,2.3万,微信,1.1万,2.3,"['微信', 'qq', '腾讯', 'tencent', '即时聊天', '装机必备']",75.53M
5,5c26c66eb031602c92ea9fbb,5.4万,5335万,2.4万,酷安,1.4万,4.4,"['酷市场', '酷安', '市场', 'coolapk', '装机必备']",22.03M
6,5c26c671b031602c92ea9fbc,1970,932万,4203,WiFi万能钥匙,2061,2.3,['wifi'],24.79M
7,5c26c672b031602c92ea9fbd,1.6万,955万,1.1万,支付宝,8257,2.1,"['支付宝', '淘宝', '旺旺', '购物', '余额宝', '电商', '装机必备']",64.6M
8,5c26c674b031602c92ea9fbe,1.0万,1095万,5758,新浪微博,6939,2.3,"['微博', '小编推荐']",70.40M
9,5c26c675b031602c92ea9fbf,1.3万,1123万,9268,手机淘宝,1.0万,1.8,"['购物', '网购', 'taobao', '电商', '装机必备']",92.70M
10,5c26c676b031602c92ea9fc0,5744,538万,3636,优酷视频,4017,2.4,"['优酷', '视频', 'youku']",73.8M
11,5c26c677b031602c92ea9fc1,4618,546万,1.0万,ES文件浏览器,5482,4.2,"['文件管理', 'es管理器', '装机必备']",21.49M
12,5c26c679b031602c92ea9fc2,3746,577万,4248,百度地图,5278,2.0,"['地图', '导航', '路线']",79.70M
13,5c26c67ab031602c92ea9fc3,3544,578万,1887,中国建设银行,1327,2.0,"['银行', '建行']",148.70M
14,5c26c67bb031602c92ea9fc4,6315,632万,6026,京东,2518,2.3,"['电商', '电子商务', '360buy', '装机必备', '小编推荐', '购物']",92.45M
15,5c26c67cb031602c92ea9fc5,7470,654万,1.0万,知乎,4683,2.9,"['问答', '社区', '知识', '社交', '小编推荐']",64.17M
16,5c26c67db031602c92ea9fc6,3735,664万,8728,WPS Office,2301,3.8,"['wps', 'office', '文档', '金山', '小编推荐']",37.28M
